# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 4.47575700e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0115          	4.69599257e-02	-6.34435007e-21	-1.03983696e-01	-4.23594532e-21	-4.92185391e-03	-7.05326440e-23	2.34799629e-02	2.34799629e-02	-3.24270768e-21	-3.10164239e-21	-5.69137018e-02	-4.70699940e-02
0.012           	4.69598850e-02	-6.34531892e-21	-1.04019577e-01	-4.23594503e-21	-4.91499600e-03	-7.05105771e-23	2.34799425e-02	2.34799425e-02	-3.24317004e-21	-3.10214889e-21	-5.69247847e-02	-4.70947927e-02
0.0125          	4.69598791e-02	-6.34785916e-21	-1.04171183e-01	-4.23607044e-21	-4.90761434e-03	-7.04430937e-23	2.34799395e-02	2.34799395e-02	-3.24437267e-21	-3.10348649e-21	-5.69932060e-02	-4.71779773e-02
0.013           	4.69601045e-02	-6.34780814e-21	-1.04217625e-01	-4.23515874e-21	-4.89971096e-03	-7.03908694e-23	2.34800522e-02	2.34800522e-02	-3.24429494e-21	-3.10351320e-21	-5.70085235e-02	-4.72091016e-02
0.0135          	4.69600746e-02	-6.35490836e-21	-1.04536938e-01	-4.23726260e-21	-4.89158544e-03	-7.03061112e-23	2.34800373e-02	2.34800373e-02	-3.24776029e-21	-3.10714807e-21	-5.71600545e-02	-4.73768836e-02
0.014           	4.69601403e-02	-6.35836149e-21	-1.04696102e-01	-4.23803103e-21	-4.88347913e-03	-7.02534972e-23	2.34800701e-02	2.34800701e-02	-3.24943424e-21	-3.10892725e-21	-5.72315301e-02	-4.74645719e-02
0.0145          	4.69602374e-02	-6.36206010e-21	-1.04908855e-01	-4.23845990e-21	-4.87526422e-03	-7.01677495e-23	2.34801187e-02	2.34801187e-02	-3.25119780e-21	-3.11086230e-21	-5.73296915e-02	-4.75791631e-02
0.015           	4.69601537e-02	-6.36419336e-21	-1.04980903e-01	-4.23910405e-21	-4.86667677e-03	-7.01480128e-23	2.34800769e-02	2.34800769e-02	-3.25224469e-21	-3.11194867e-21	-5.73571282e-02	-4.76237747e-02
0.0155          	4.69599963e-02	-6.36341999e-21	-1.04991807e-01	-4.23800850e-21	-4.85757976e-03	-7.01066380e-23	2.34799982e-02	2.34799982e-02	-3.25181663e-21	-3.11160335e-21	-5.73534831e-02	-4.76383236e-02
0.016           	4.69600111e-02	-6.37135267e-21	-1.05306499e-01	-4.24079982e-21	-4.84818774e-03	-7.00435750e-23	2.34800055e-02	2.34800055e-02	-3.25571991e-21	-3.11563276e-21	-5.75014375e-02	-4.78050620e-02
0.0165          	4.69600656e-02	-6.36997867e-21	-1.05285352e-01	-4.23957122e-21	-4.83865937e-03	-7.00119522e-23	2.34800328e-02	2.34800328e-02	-3.25500129e-21	-3.11497738e-21	-5.74813352e-02	-4.78040164e-02
0.017           	4.69599259e-02	-6.37160496e-21	-1.05397095e-01	-4.23937289e-21	-4.82870943e-03	-6.99515268e-23	2.34799630e-02	2.34799630e-02	-3.25575401e-21	-3.11585095e-21	-5.75272572e-02	-4.78698383e-02
0.0175          	4.69598902e-02	-6.37503164e-21	-1.05482676e-01	-4.24093010e-21	-4.81841359e-03	-6.99529422e-23	2.34799451e-02	2.34799451e-02	-3.25746876e-21	-3.11756288e-21	-5.75597518e-02	-4.79229246e-02
0.018           	4.69596527e-02	-6.37479187e-21	-1.05452032e-01	-4.24072410e-21	-4.80772735e-03	-6.99529255e-23	2.34798263e-02	2.34798263e-02	-3.25734886e-21	-3.11744301e-21	-5.75337431e-02	-4.79182884e-02
0.0185          	4.69590242e-02	-6.37389656e-21	-1.05738033e-01	-4.23668823e-21	-4.79681683e-03	-6.97102088e-23	2.34795121e-02	2.34795121e-02	-3.25665849e-21	-3.11723807e-21	-5.76658334e-02	-4.80721997e-02
0.019           	4.69586293e-02	-6.37935161e-21	-1.05817798e-01	-4.23993346e-21	-4.78606448e-03	-6.97615630e-23	2.34793146e-02	2.34793146e-02	-3.25943737e-21	-3.11991424e-21	-5.76949637e-02	-4.81228347e-02
0.0195          	4.69585795e-02	-6.37469833e-21	-1.05770313e-01	-4.23626184e-21	-4.77491822e-03	-6.96728012e-23	2.34792897e-02	2.34792897e-02	-3.25702196e-21	-3.11767636e-21	-5.76600745e-02	-4.81102380e-02
0.02            	4.69583232e-02	-6.37532757e-21	-1.05863300e-01	-4.23551184e-21	-4.76316027e-03	-6.96046700e-23	2.34791616e-02	2.34791616e-02	-3.25726845e-21	-3.11805911e-21	-5.76948101e-02	-4.81684896e-02
0.0205          	4.69577313e-02	-6.37494838e-21	-1.05890493e-01	-4.23459548e-21	-4.75120874e-03	-6.95610206e-23	2.34788657e-02	2.34788657e-02	-3.25703521e-21	-3.11791317e-21	-5.76964551e-02	-4.81940376e-02
0.021           	4.69571566e-02	-6.37589636e-21	-1.05911997e-01	-4.23480984e-21	-4.73900385e-03	-6.95518058e-23	2.34785783e-02	2.34785783e-02	-3.25749998e-21	-3.11839637e-21	-5.76950025e-02	-4.82169948e-02
0.0215          	4.69568464e-02	-6.37707330e-21	-1.05935449e-01	-4.23520464e-21	-4.72646810e-03	-6.95470631e-23	2.34784232e-02	2.34784232e-02	-3.25808371e-21	-3.11898959e-21	-5.76941926e-02	-4.82412564e-02
0.022           	4.69567136e-02	-6.37574808e-21	-1.05928789e-01	-4.23384160e-21	-4.71362434e-03	-6.95056469e-23	2.34783568e-02	2.34783568e-02	-3.25737969e-21	-3.11836840e-21	-5.76780190e-02	-4.82507703e-02
0.0225          	4.69560595e-02	-6.36826800e-21	-1.05884200e-01	-4.22794064e-21	-4.70041260e-03	-6.93516994e-23	2.34780297e-02	2.34780297e-02	-3.25348570e-21	-3.11478230e-21	-5.76425127e-02	-4.82416875e-02
0.023           	4.69552085e-02	-6.37646575e-21	-1.05865041e-01	-4.23455880e-21	-4.68693316e-03	-6.95404115e-23	2.34776042e-02	2.34776042e-02	-3.25777329e-21	-3.11869246e-21	-5.76194535e-02	-4.82455872e-02
0.0235          	4.69544813e-02	-6.37553883e-21	-1.05827574e-01	-4.23388471e-21	-4.67325097e-03	-6.95318980e-23	2.34772407e-02	2.34772407e-02	-3.25730131e-21	-3.11823752e-21	-5.75870379e-02	-4.82405360e-02
0.024           	4.69540733e-02	-6.37615485e-21	-1.05882900e-01	-4.23348437e-21	-4.65934041e-03	-6.94910989e-23	2.34770366e-02	2.34770366e-02	-3.25756852e-21	-3.11858633e-21	-5.76007902e-02	-4.82821094e-02
0.0245          	4.69533463e-02	-6.37094387e-21	-1.05748818e-01	-4.23037195e-21	-4.64513902e-03	-6.94545126e-23	2.34766731e-02	2.34766731e-02	-3.25492645e-21	-3.11601742e-21	-5.75195483e-02	-4.82292702e-02
0.025           	4.69526318e-02	-6.37173714e-21	-1.05680760e-01	-4.23142773e-21	-4.63052426e-03	-6.95081867e-23	2.34763159e-02	2.34763159e-02	-3.25537676e-21	-3.11636038e-21	-5.74709043e-02	-4.82098558e-02
0.0255          	4.69523318e-02	-6.37258715e-21	-1.05590747e-01	-4.23276387e-21	-4.61560446e-03	-6.95796272e-23	2.34761659e-02	2.34761659e-02	-3.25587320e-21	-3.11671395e-21	-5.74109780e-02	-4.81797691e-02
0.026           	4.69519395e-02	-6.36826665e-21	-1.05541322e-01	-4.22947688e-21	-4.60042872e-03	-6.95016397e-23	2.34759697e-02	2.34759697e-02	-3.25363496e-21	-3.11463168e-21	-5.73710896e-02	-4.81702322e-02
0.0265          	4.69513335e-02	-6.36709064e-21	-1.05475111e-01	-4.22893154e-21	-4.58500464e-03	-6.95093888e-23	2.34756668e-02	2.34756668e-02	-3.25305471e-21	-3.11403593e-21	-5.73225601e-02	-4.81525508e-02
0.027           	4.69503919e-02	-6.36649978e-21	-1.05443603e-01	-4.22851248e-21	-4.56940064e-03	-6.95044415e-23	2.34751959e-02	2.34751959e-02	-3.25275433e-21	-3.11374545e-21	-5.72912020e-02	-4.81524007e-02
0.0275          	4.69493360e-02	-6.36426031e-21	-1.05359218e-01	-4.22729438e-21	-4.55352949e-03	-6.95005474e-23	2.34746680e-02	2.34746680e-02	-3.25163070e-21	-3.11262961e-21	-5.72331386e-02	-4.81260796e-02
0.028           	4.69484557e-02	-6.36166893e-21	-1.05201031e-01	-4.22654570e-21	-4.53730252e-03	-6.95422703e-23	2.34742279e-02	2.34742279e-02	-3.25037673e-21	-3.11129219e-21	-5.71378181e-02	-4.80632130e-02
0.0285          	4.69477592e-02	-6.35963033e-21	-1.05091735e-01	-4.22576609e-21	-4.52073159e-03	-6.95616959e-23	2.34738796e-02	2.34738796e-02	-3.24937686e-21	-3.11025347e-21	-5.70665992e-02	-4.80251360e-02
0.029           	4.69472790e-02	-6.35932952e-21	-1.04991859e-01	-4.22627721e-21	-4.50392035e-03	-6.96138762e-23	2.34736395e-02	2.34736395e-02	-3.24927864e-21	-3.11005089e-21	-5.69998499e-02	-4.79920092e-02
0.0295          	4.69467275e-02	-6.35236201e-21	-1.04745592e-01	-4.22292927e-21	-4.48679502e-03	-6.96198676e-23	2.34733638e-02	2.34733638e-02	-3.24580087e-21	-3.10656114e-21	-5.68595910e-02	-4.78860009e-02
0.03            	4.69457438e-02	-6.35113465e-21	-1.04778665e-01	-4.22133101e-21	-4.46941349e-03	-6.95541296e-23	2.34728719e-02	2.34728719e-02	-3.24512146e-21	-3.10601320e-21	-5.68587460e-02	-4.79199190e-02
