# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 4.47575700e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.012           	3.22881123e+00	1.52383567e-20	-9.63937855e-01	2.43946952e-21	-8.44722824e-03	2.47637467e-21	1.61440562e+00	1.61440562e+00	1.00955530e-20	5.14280367e-21	-4.90416156e-01	-4.73521699e-01
0.0125          	3.22966820e+00	1.52357580e-20	-9.66365739e-01	2.44341875e-21	-8.39574601e-03	2.48234155e-21	1.61483410e+00	1.61483410e+00	1.01002206e-20	5.13553745e-21	-4.91578615e-01	-4.74787123e-01
0.013           	3.23026967e+00	1.52251486e-20	-9.67735699e-01	2.44606156e-21	-8.34269792e-03	2.48559407e-21	1.61513483e+00	1.61513483e+00	1.00981684e-20	5.12698024e-21	-4.92210547e-01	-4.75525151e-01
0.0135          	3.23052948e+00	1.52272272e-20	-9.71843207e-01	2.45347078e-21	-8.28914949e-03	2.49319251e-21	1.61526474e+00	1.61526474e+00	1.01068061e-20	5.12042109e-21	-4.94210753e-01	-4.77632454e-01
0.014           	3.23145599e+00	1.52261034e-20	-9.74676158e-01	2.45842476e-21	-8.23477246e-03	2.49942332e-21	1.61572799e+00	1.61572799e+00	1.01124750e-20	5.11362836e-21	-4.95572851e-01	-4.79103306e-01
0.0145          	3.23215757e+00	1.52220355e-20	-9.77622091e-01	2.46396274e-21	-8.17988131e-03	2.50574862e-21	1.61607878e+00	1.61607878e+00	1.01167664e-20	5.10526914e-21	-4.96990927e-01	-4.80631164e-01
0.015           	3.23252658e+00	1.52213826e-20	-9.79425446e-01	2.46644125e-21	-8.12436159e-03	2.51020130e-21	1.61626329e+00	1.61626329e+00	1.01208926e-20	5.10048998e-21	-4.97837085e-01	-4.81588362e-01
0.0155          	3.23331240e+00	1.52151847e-20	-9.80495198e-01	2.46770290e-21	-8.06806640e-03	2.51443710e-21	1.61665620e+00	1.61665620e+00	1.01220294e-20	5.09315523e-21	-4.98315666e-01	-4.82179533e-01
0.016           	3.23447995e+00	1.52203804e-20	-9.84496278e-01	2.47604252e-21	-8.01100032e-03	2.52267107e-21	1.61723997e+00	1.61723997e+00	1.01328613e-20	5.08751912e-21	-5.00259140e-01	-4.84237139e-01
0.0165          	3.23505233e+00	1.52138011e-20	-9.85249457e-01	2.47657458e-21	-7.95353012e-03	2.52604309e-21	1.61752616e+00	1.61752616e+00	1.01329436e-20	5.08085744e-21	-5.00578259e-01	-4.84671198e-01
