# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 4.47575700e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.012           	3.22875262e+00	1.45007260e-20	-9.63891384e-01	2.56386844e-21	-8.44687644e-03	4.42868457e-21	1.61437631e+00	1.61437631e+00	1.16790476e-20	2.82167846e-21	-4.90392568e-01	-4.73498815e-01
0.0125          	3.22972174e+00	1.44984676e-20	-9.66398465e-01	2.56844343e-21	-8.39538854e-03	4.43377891e-21	1.61486087e+00	1.61486087e+00	1.16830127e-20	2.81545491e-21	-4.91594621e-01	-4.74803844e-01
0.013           	3.23022421e+00	1.44854255e-20	-9.67697420e-01	2.57006041e-21	-8.34232774e-03	4.43496992e-21	1.61511211e+00	1.61511211e+00	1.16776826e-20	2.80774281e-21	-4.92191038e-01	-4.75506382e-01
0.0135          	3.23057352e+00	1.44913673e-20	-9.71873803e-01	2.57857177e-21	-8.28877876e-03	4.44206883e-21	1.61528676e+00	1.61528676e+00	1.16877525e-20	2.80361480e-21	-4.94225680e-01	-4.77648123e-01
0.014           	3.23141377e+00	1.44928365e-20	-9.74639270e-01	2.58378711e-21	-8.23439528e-03	4.44748098e-21	1.61570688e+00	1.61570688e+00	1.16938992e-20	2.79893728e-21	-4.95554030e-01	-4.79085240e-01
0.0145          	3.23219648e+00	1.44897857e-20	-9.77653209e-01	2.58968516e-21	-8.17950787e-03	4.45289440e-21	1.61609824e+00	1.61609824e+00	1.16977872e-20	2.79199845e-21	-4.97006112e-01	-4.80647096e-01
0.015           	3.23248912e+00	1.44887968e-20	-9.79388797e-01	2.59213102e-21	-8.12398572e-03	4.45544984e-21	1.61624456e+00	1.61624456e+00	1.16998482e-20	2.78894855e-21	-4.97818384e-01	-4.81570413e-01
0.0155          	3.23334830e+00	1.44810635e-20	-9.80514787e-01	2.59339464e-21	-8.06768700e-03	4.45819106e-21	1.61667415e+00	1.61667415e+00	1.16987228e-20	2.78234068e-21	-4.98325080e-01	-4.82189706e-01
0.016           	3.23445248e+00	1.44905712e-20	-9.84476873e-01	2.60277346e-21	-8.01061829e-03	4.46563159e-21	1.61722624e+00	1.61722624e+00	1.17109172e-20	2.77965400e-21	-5.00249055e-01	-4.84227818e-01
0.0165          	3.23507078e+00	1.44816651e-20	-9.85265845e-01	2.60308256e-21	-7.95314669e-03	4.46722037e-21	1.61753539e+00	1.61753539e+00	1.17080529e-20	2.77361216e-21	-5.00586069e-01	-4.84679776e-01
0.017           	3.23551502e+00	1.44754558e-20	-9.87390775e-01	2.60634086e-21	-7.89514528e-03	4.47085064e-21	1.61775751e+00	1.61775751e+00	1.17085785e-20	2.76687726e-21	-5.01590533e-01	-4.85800242e-01
0.0175          	3.23632474e+00	1.44828803e-20	-9.89238662e-01	2.61004172e-21	-7.83617949e-03	4.47484822e-21	1.61816237e+00	1.61816237e+00	1.17162884e-20	2.76659192e-21	-5.02455511e-01	-4.86783152e-01
0.018           	3.23603226e+00	1.44741453e-20	-9.89779218e-01	2.60928644e-21	-7.77691660e-03	4.47380592e-21	1.61801613e+00	1.61801613e+00	1.17108786e-20	2.76326671e-21	-5.02666525e-01	-4.87112692e-01
0.0185          	3.23642563e+00	1.44415205e-20	-9.93639916e-01	2.61472023e-21	-7.71712318e-03	4.47950807e-21	1.61821281e+00	1.61821281e+00	1.17002683e-20	2.74125220e-21	-5.04537081e-01	-4.89102835e-01
0.019           	3.23722213e+00	1.44577518e-20	-9.95412675e-01	2.61912292e-21	-7.65642239e-03	4.48294550e-21	1.61861106e+00	1.61861106e+00	1.17118214e-20	2.74593042e-21	-5.05362760e-01	-4.90049915e-01
0.0195          	3.23905634e+00	1.44377497e-20	-9.95837195e-01	2.61933400e-21	-7.59524065e-03	4.48637756e-21	1.61952817e+00	1.61952817e+00	1.17052524e-20	2.73249727e-21	-5.05513838e-01	-4.90323357e-01
0.02            	3.23853714e+00	1.44250371e-20	-9.97790245e-01	2.62069349e-21	-7.53312426e-03	4.48760162e-21	1.61926857e+00	1.61926857e+00	1.17001202e-20	2.72491692e-21	-5.06428247e-01	-4.91361998e-01
0.0205          	3.23902799e+00	1.44163667e-20	-9.98984269e-01	2.62193925e-21	-7.47009813e-03	4.48961880e-21	1.61951399e+00	1.61951399e+00	1.16978022e-20	2.71856457e-21	-5.06962233e-01	-4.92022036e-01
0.021           	3.23979548e+00	1.44164191e-20	-1.00020058e+00	2.62368680e-21	-7.40682781e-03	4.49264202e-21	1.61989774e+00	1.61989774e+00	1.17008516e-20	2.71556754e-21	-5.07507119e-01	-4.92693463e-01
0.0215          	3.24056227e+00	1.44174250e-20	-1.00139019e+00	2.62561234e-21	-7.34308125e-03	4.49545525e-21	1.62028113e+00	1.62028113e+00	1.17041678e-20	2.71325725e-21	-5.08038177e-01	-4.93352015e-01
0.022           	3.24151085e+00	1.44069346e-20	-1.00221771e+00	2.62654416e-21	-7.27912295e-03	4.49752335e-21	1.62075543e+00	1.62075543e+00	1.17009906e-20	2.70594394e-21	-5.08387977e-01	-4.93829731e-01
0.0225          	3.24051776e+00	1.43623701e-20	-1.00278901e+00	2.62269767e-21	-7.21452065e-03	4.49492795e-21	1.62025888e+00	1.62025888e+00	1.16761130e-20	2.68625709e-21	-5.08609023e-01	-4.94179982e-01
0.023           	3.24123785e+00	1.44077317e-20	-1.00374039e+00	2.62560833e-21	-7.14902327e-03	4.49943153e-21	1.62061892e+00	1.62061892e+00	1.17032974e-20	2.70443431e-21	-5.09019219e-01	-4.94721172e-01
0.0235          	3.24205481e+00	1.44022882e-20	-1.00422648e+00	2.62591103e-21	-7.08333916e-03	4.50082409e-21	1.62102740e+00	1.62102740e+00	1.17019682e-20	2.70032002e-21	-5.09196581e-01	-4.95029903e-01
0.024           	3.24282516e+00	1.43971834e-20	-1.00573167e+00	2.62833169e-21	-7.01640793e-03	4.50393128e-21	1.62141258e+00	1.62141258e+00	1.17025230e-20	2.69466044e-21	-5.09882242e-01	-4.95849426e-01
0.0245          	3.24238698e+00	1.43745884e-20	-1.00539095e+00	2.62419422e-21	-6.94900505e-03	4.50159794e-21	1.62119349e+00	1.62119349e+00	1.16888921e-20	2.68569627e-21	-5.09644480e-01	-4.95746470e-01
0.025           	3.24373982e+00	1.43854038e-20	-1.00571894e+00	2.62488846e-21	-6.88120131e-03	4.50499813e-21	1.62186991e+00	1.62186991e+00	1.16977000e-20	2.68770375e-21	-5.09740671e-01	-4.95978269e-01
0.0255          	3.24499085e+00	1.43967080e-20	-1.00575761e+00	2.62535778e-21	-6.81274118e-03	4.50722348e-21	1.62249542e+00	1.62249542e+00	1.17055775e-20	2.69113052e-21	-5.09691546e-01	-4.96066063e-01
0.026           	3.24450219e+00	1.43694929e-20	-1.00610984e+00	2.62298087e-21	-6.74320632e-03	4.50544131e-21	1.62225109e+00	1.62225109e+00	1.16901878e-20	2.67930515e-21	-5.09798125e-01	-4.96311712e-01
0.0265          	3.24531895e+00	1.43681128e-20	-1.00644864e+00	2.62263842e-21	-6.67336682e-03	4.50743593e-21	1.62265947e+00	1.62265947e+00	1.16914923e-20	2.67662049e-21	-5.09897689e-01	-4.96550955e-01
0.027           	3.24519270e+00	1.43609680e-20	-1.00696604e+00	2.62208713e-21	-6.60307433e-03	4.50725197e-21	1.62259635e+00	1.62259635e+00	1.16877360e-20	2.67323204e-21	-5.10086096e-01	-4.96879948e-01
0.0275          	3.24567709e+00	1.43543082e-20	-1.00709605e+00	2.62070445e-21	-6.53230084e-03	4.50821162e-21	1.62283855e+00	1.62283855e+00	1.16853657e-20	2.66894249e-21	-5.10080326e-01	-4.97015724e-01
0.028           	3.24655560e+00	1.43518776e-20	-1.00647198e+00	2.61858781e-21	-6.46139329e-03	4.50833585e-21	1.62327780e+00	1.62327780e+00	1.16842746e-20	2.66760294e-21	-5.09697383e-01	-4.96774596e-01
0.0285          	3.24678855e+00	1.43460192e-20	-1.00630440e+00	2.61664126e-21	-6.38966071e-03	4.50784593e-21	1.62339427e+00	1.62339427e+00	1.16808555e-20	2.66516369e-21	-5.09541862e-01	-4.96762540e-01
0.029           	3.24825181e+00	1.43535860e-20	-1.00620008e+00	2.61676057e-21	-6.31716203e-03	4.51046884e-21	1.62412590e+00	1.62412590e+00	1.16872618e-20	2.66632415e-21	-5.09417201e-01	-4.96782877e-01
0.0295          	3.24804047e+00	1.43323514e-20	-1.00469908e+00	2.61053030e-21	-6.24415134e-03	4.50665459e-21	1.62402024e+00	1.62402024e+00	1.16728303e-20	2.65952111e-21	-5.08593691e-01	-4.96105388e-01
0.03            	3.24774016e+00	1.43177254e-20	-1.00593318e+00	2.61071082e-21	-6.17037498e-03	4.50766087e-21	1.62387008e+00	1.62387008e+00	1.16665236e-20	2.65120186e-21	-5.09136965e-01	-4.96796215e-01
0.0305          	3.24848695e+00	1.43143643e-20	-1.00596065e+00	2.60983515e-21	-6.09602768e-03	4.50854898e-21	1.62424348e+00	1.62424348e+00	1.16657311e-20	2.64863318e-21	-5.09076352e-01	-4.96884297e-01
0.031           	3.24909234e+00	1.43248785e-20	-1.00364118e+00	2.60441495e-21	-6.02126000e-03	4.50603333e-21	1.62454617e+00	1.62454617e+00	1.16684726e-20	2.65640591e-21	-5.07841849e-01	-4.95799329e-01
